Date,Open,High,Low ,Close,Adj. Close,Volume
"Dec 28, 2022","16,640.00","16,760.00","16,420.00","16,570.00","16,570.00","9,933"
"Dec 27, 2022","16,825.00","16,950.00","16,515.00","16,595.00","16,595.00","7,685"
"Dec 23, 2022","16,760.00","16,910.00","16,695.00","16,780.00","16,780.00","5,712"
"Dec 22, 2022","16,725.00","16,850.00","16,460.00","16,735.00","16,735.00","5,529"
"Dec 21, 2022","16,870.00","16,885.00","16,670.00","16,735.00","16,735.00","2,295"
"Dec 20, 2022","16,325.00","17,095.00","16,275.00","16,840.00","16,840.00","5,601"
"Dec 19, 2022","16,690.00","16,770.00","16,395.00","16,495.00","16,495.00","4,393"
"Dec 16, 2022","17,340.00","17,525.00","16,675.00","16,775.00","16,775.00","7,266"
"Dec 15, 2022","17,840.00","17,875.00","17,290.00","17,395.00","17,395.00","5,851"
"Dec 14, 2022","17,775.00","18,420.00","17,680.00","17,795.00","17,795.00","7,805"
"Dec 13, 2022","17,170.00","18,125.00","17,050.00","17,745.00","17,745.00","9,178"
"Dec 12, 2022","17,080.00","17,220.00","16,820.00","17,115.00","17,115.00","4,191"
"Dec 9, 2022","17,240.00","17,355.00","17,005.00","17,035.00","17,035.00","4,444"
"Dec 8, 2022","16,760.00","17,320.00","16,665.00","17,185.00","17,185.00","7,120"
"Dec 7, 2022","16,935.00","17,090.00","16,580.00","16,725.00","16,725.00","3,966"
"Dec 6, 2022","16,865.00","17,025.00","16,800.00","16,945.00","16,945.00","3,720"
"Dec 5, 2022","17,020.00","17,435.00","16,750.00","16,825.00","16,825.00","6,335"
"Dec 2, 2022","16,870.00","17,055.00","16,055.00","16,995.00","16,995.00","3,869"
"Dec 1, 2022","17,190.00","17,235.00","16,760.00","16,820.00","16,820.00","6,039"
"Nov 30, 2022","16,235.00","17,140.00","16,160.00","17,080.00","17,080.00","8,018"
"Nov 29, 2022","15,920.00","16,410.00","15,880.00","16,265.00","16,265.00","4,649"
"Nov 28, 2022","16,335.00","16,375.00","15,630.00","15,990.00","15,990.00","6,804"
"Nov 25, 2022","16,470.00","16,805.00","16,340.00","16,512.29","16,512.29","3,599"
"Nov 23, 2022","16,115.00","16,705.00","16,080.00","16,610.00","16,610.00","9,969"
"Nov 22, 2022","15,645.00","16,295.00","15,515.00","16,055.00","16,055.00","12,763"
"Nov 21, 2022","16,155.00","16,265.00","15,355.00","15,690.00","15,690.00","12,988"
"Nov 18, 2022","16,545.00","16,880.00","16,365.00","16,530.00","16,530.00","6,052"
"Nov 17, 2022","16,370.00","16,610.00","16,115.00","16,520.00","16,520.00","5,977"
"Nov 16, 2022","16,715.00","16,855.00","16,015.00","16,285.00","16,285.00","7,008"
"Nov 15, 2022","16,085.00","16,990.00","16,085.00","16,690.00","16,690.00","7,408"
"Nov 14, 2022","15,870.00","16,740.00","15,250.00","16,005.00","16,005.00","7,191"
"Nov 11, 2022","17,460.00","17,480.00","15,715.00","16,050.00","16,050.00","12,252"
